entry_time,exit_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_reason,pnl,r_multiple,winner
2025-10-13 04:00:00,2025-10-13 14:00:00,SELL,4065.6,4111.68,4018.42,4111.68,Stop Loss,-46.08,-1.0,N
2025-10-14 04:00:00,2025-10-14 06:00:00,SELL,4161.2,4187.67,4119.37,4187.67,Stop Loss,-26.47,-1.0,N
2025-10-14 07:00:00,2025-10-14 07:00:00,SELL,4137.9,4212.48,4137.84,4137.84,Take Profit,0.06,0.0,Y
2025-10-14 08:00:00,2025-10-15 08:00:00,SELL,4126.3,4218.63,3944.63,4218.63,Stop Loss,-92.33,-1.0,N
2025-10-16 06:00:00,2025-10-16 06:00:00,SELL,4245.8,4277.18,4223.64,4223.64,Take Profit,22.16,0.71,Y
2025-10-16 07:00:00,2025-10-16 15:00:00,SELL,4217.7,4278.5,4098.49,4278.5,Stop Loss,-60.8,-1.0,N
2025-10-16 20:00:00,2025-10-16 21:00:00,SELL,4304.8,4338.71,4257.57,4338.71,Stop Loss,-33.91,-1.0,N
2025-10-17 02:00:00,2025-10-17 14:00:00,SELL,4368.9,4416.13,4286.59,4286.59,Take Profit,82.31,1.74,Y
2025-10-17 19:00:00,2025-10-20 13:00:00,BUY,4235.0,4169.67,4329.57,4329.57,Take Profit,94.57,1.45,Y
2025-10-20 15:00:00,2025-10-20 16:00:00,SELL,4316.0,4369.99,4267.91,4369.99,Stop Loss,-53.99,-1.0,N
2025-10-20 18:00:00,2025-10-21 09:00:00,SELL,4364.6,4411.8,4285.71,4285.71,Take Profit,78.89,1.67,Y
2025-10-21 13:00:00,2025-10-21 13:00:00,BUY,4267.6,4223.8,4347.32,4223.8,Stop Loss,-43.8,-1.0,N
2025-10-21 18:00:00,2025-10-22 01:00:00,BUY,4126.0,4066.2,4242.01,4066.2,Stop Loss,-59.8,-1.0,N
2025-10-22 03:00:00,2025-10-28 06:00:00,BUY,4101.5,3961.3,4194.77,3961.3,Stop Loss,-140.2,-1.0,N
2025-10-28 11:00:00,2025-10-29 00:00:00,BUY,3941.8,3881.18,3988.7,3988.7,Take Profit,46.9,0.77,Y
2025-10-29 12:00:00,2025-10-29 18:00:00,SELL,4030.2,4072.54,3989.16,3989.16,Take Profit,41.04,0.97,Y
2025-10-29 20:00:00,2025-10-30 09:00:00,BUY,3959.5,3914.02,4003.25,4003.25,Take Profit,43.75,0.96,Y
2025-10-30 16:00:00,2025-11-03 00:00:00,SELL,4014.5,4064.57,3976.55,3976.55,Take Profit,37.95,0.76,Y
2025-11-03 02:00:00,2025-11-03 02:00:00,BUY,4006.4,3953.77,4015.73,4015.73,Take Profit,9.33,0.18,Y
2025-11-03 03:00:00,2025-11-03 03:00:00,BUY,4015.6,3954.81,4016.01,4016.01,Take Profit,0.41,0.01,Y
2025-11-03 17:00:00,2025-11-03 17:00:00,SELL,4019.1,4072.57,4017.22,4017.22,Take Profit,1.88,0.04,Y
2025-11-04 03:00:00,2025-11-04 14:00:00,BUY,3997.3,3967.62,4017.41,3967.62,Stop Loss,-29.68,-1.0,N
2025-11-04 17:00:00,2025-11-04 23:00:00,BUY,3980.2,3938.45,3996.12,3938.45,Stop Loss,-41.75,-1.0,N
2025-11-06 11:00:00,2025-11-06 15:00:00,SELL,4016.8,4039.91,3997.28,3997.28,Take Profit,19.52,0.84,Y
2025-11-07 18:00:00,2025-11-07 20:00:00,SELL,4011.8,4046.66,4005.92,4005.92,Take Profit,5.88,0.17,Y
2025-11-10 08:00:00,2025-11-10 13:00:00,SELL,4082.6,4110.55,4030.95,4110.55,Stop Loss,-27.95,-1.0,N
2025-11-11 02:00:00,2025-11-11 15:00:00,SELL,4141.4,4161.81,4104.63,4104.63,Take Profit,36.77,1.8,Y
2025-11-11 17:00:00,2025-11-11 20:00:00,BUY,4119.8,4093.71,4137.22,4137.22,Take Profit,17.42,0.67,Y
2025-11-12 07:00:00,2025-11-12 07:00:00,BUY,4124.5,4085.59,4130.57,4130.57,Take Profit,6.07,0.16,Y
2025-11-12 20:00:00,2025-11-13 08:00:00,SELL,4202.6,4240.11,4147.75,4240.11,Stop Loss,-37.51,-1.0,N
2025-11-13 14:00:00,2025-11-13 14:00:00,SELL,4236.1,4274.38,4216.65,4216.65,Take Profit,19.45,0.51,Y
2025-11-13 21:00:00,2025-11-14 02:00:00,BUY,4168.7,4130.65,4211.19,4211.19,Take Profit,42.49,1.12,Y
2025-11-14 16:00:00,2025-11-17 19:00:00,BUY,4096.5,4036.3,4163.43,4036.3,Stop Loss,-60.2,-1.0,N
2025-11-17 21:00:00,2025-11-18 07:00:00,BUY,4041.8,3998.66,4070.9,3998.66,Stop Loss,-43.14,-1.0,N
2025-11-18 16:00:00,2025-11-19 09:00:00,SELL,4052.6,4100.34,4032.71,4100.34,Stop Loss,-47.74,-1.0,N
2025-11-19 12:00:00,2025-11-19 16:00:00,SELL,4112.8,4140.87,4080.21,4080.21,Take Profit,32.59,1.16,Y
